It	(C,50)
of	(I,65)
all	(I,64)
citizens	(I,63)
.	(O,|)
For	(O,|)
example	(O,|)
,	(O,|)
vaccines	(P,58)
will	(I,57)
guarantee	(I,56)
that	(I,55)
pregnant	(I,54)
women	(I,53)
and	(I,52)
their	(I,51)
babies	(I,50)
are	(I,49)
protected	(I,48)
from	(I,47)
serious	(I,46)
infectious	(I,45)
diseases	(I,44)
such	(I,43)
as	(I,42)
flu	(I,41)
,	(I,40)
smallpox	(I,39)
,	(I,38)
rubella	(I,37)
so	(I,36)
on	(I,35)
.	(O,|)
When	(P,33)
huge	(I,32)
injection	(I,31)
campaigns	(I,30)
are	(I,29)
organized	(I,28)
throughout	(I,27)
our	(I,26)
country	(I,25)
,	(I,24)
the	(I,23)
community's	(I,22)
health	(I,21)
state	(I,20)
will	(I,19)
be	(I,18)
improved	(I,17)
remarkably	(I,16)
.	(O,|)
As	(O,|)
human	(P,13)
resources	(I,12)
play	(I,11)
a	(I,10)
key	(I,9)
role	(I,8)
in	(I,7)
the	(I,6)
development	(I,5)
of	(I,4)
a	(I,3)
country	(I,2)
,	(O,|)
investing	(C,31)
money	(I,30)
to	(I,29)
enhance	(I,28)
the	(I,27)
general	(I,26)
health	(I,25)
state	(I,24)
is	(I,23)
a	(I,22)
totally	(I,21)
right	(I,20)
decision	(I,19)
.	(O,|)
In	(O,|)
addition	(O,|)
,	(O,|)
because	(O,|)
the	(P,13)
cost	(I,12)
of	(I,11)
treatment	(I,10)
is	(I,9)
often	(I,8)
much	(I,7)
higher	(I,6)
than	(I,5)
that	(I,4)
of	(I,3)
prevention	(I,2)
,	(O,|)
the	(P,21)
government	(I,20)
can	(I,19)
save	(I,18)
a	(I,17)
lot	(I,16)
of	(I,15)
money	(I,14)
for	(I,13)
our	(I,12)
country's	(I,11)
health	(I,10)
budget	(I,9)
.	(O,|)
In	(O,|)
conclusion	(O,|)
,	(O,|)
I	(O,|)
strongly	(O,|)
agree	(O,|)
that	(O,|)
we	(C,0)
should	(I,0)
give	(I,0)
more	(I,0)
priority	(I,0)
to	(I,0)
health	(I,0)
education	(I,0)
and	(I,0)
preventative	(I,0)
measures	(I,0)
than	(I,0)
to	(I,0)
treatment	(I,0)
.	(O,|)
However	(O,|)
,	(O,|)
reasonable	(C,0)
attentions	(I,0)
should	(I,0)
be	(I,0)
paid	(I,0)
to	(I,0)
treatment	(I,0)
so	(I,0)
that	(I,0)
our	(I,0)
citizens	(I,0)
are	(I,0)
always	(I,0)
looked	(I,0)
after	(I,0)
with	(I,0)
best	(I,0)
services	(I,0)
.	(O,|)
